time,gyrx,gyry,gyrz,rol,pit,yaw,accx,accy,accz,vCmds,,,,gforcex,gforcey,gforcez
0.133,0.002,0.001,-0.001,-0.421,-0.508,10.099,0,0,-0.001,-0.421,-0.508,10.099,0,-0.042915392456677,-0.051783893985729,1.02945973496432
0.134,0.002,0.001,-0.001,-0.421,-0.474,10.075,0,0,-0.001,-0.421,-0.474,10.075,0,-0.042915392456677,-0.048318042813456,1.02701325178389
0.135,0.002,0.001,-0.001,-0.421,-0.474,10.089,0,-0.001,-0.001,-0.421,-0.474,10.089,0,-0.042915392456677,-0.048318042813456,1.02844036697248
0.136,0.002,0.001,-0.001,-0.436,-0.508,10.113,0,-0.001,-0.001,-0.436,-0.508,10.113,0,-0.044444444444445,-0.051783893985729,1.03088685015291
0.137,0.002,0.001,-0.001,-0.445,-0.541,10.127,0,-0.001,-0.001,-0.445,-0.541,10.127,0,-0.045361875637105,-0.055147808358818,1.03231396534149
0.138,0.002,0.001,-0.001,-0.421,-0.522,10.08,0,-0.001,0,-0.421,-0.522,10.08,0,-0.042915392456677,-0.053211009174312,1.02752293577982
0.139,0.002,0.001,-0.001,-0.45,-0.503,10.051,0,-0.001,0,-0.45,-0.503,10.051,0,-0.045871559633028,-0.051274209989806,1.02456676860347
0.14,0.002,0.001,-0.001,-0.474,-0.503,10.051,0,-0.001,0,-0.474,-0.503,10.051,0,-0.048318042813456,-0.051274209989806,1.02456676860347
0.141,0.002,0.001,-0.001,-0.431,-0.508,10.046,0,-0.001,0,-0.431,-0.508,10.046,0,-0.043934760448522,-0.051783893985729,1.02405708460754
0.142,0.002,0.001,-0.001,-0.445,-0.517,10.046,0,-0.001,0,-0.445,-0.517,10.046,0,-0.045361875637105,-0.052701325178389,1.02405708460754
0.143,0.002,0.001,-0.001,-0.455,-0.541,10.046,0,-0.001,0,-0.455,-0.541,10.046,0,-0.04638124362895,-0.055147808358818,1.02405708460754
0.144,0.002,0.001,-0.001,-0.441,-0.536,10.022,0,-0.001,0,-0.441,-0.536,10.022,0,-0.044954128440367,-0.054638124362895,1.02161060142712
0.145,0.002,0.001,-0.001,-0.469,-0.512,10.008,0,-0.001,0,-0.469,-0.512,10.008,0,-0.047808358817533,-0.052191641182467,1.02018348623853
0.146,0.002,0.001,-0.001,-0.441,-0.493,10.032,0,-0.001,0,-0.441,-0.493,10.032,0,-0.044954128440367,-0.050254841997961,1.02262996941896
0.147,0.002,0.001,-0.001,-0.431,-0.493,10.013,0,-0.001,0,-0.431,-0.493,10.013,0,-0.043934760448522,-0.050254841997961,1.02069317023445
0.148,0.002,0.001,-0.001,-0.445,-0.484,9.998,0,-0.001,0.001,-0.445,-0.484,9.998,0,-0.045361875637105,-0.049337410805301,1.01916411824669
0.149,0.002,0.001,-0.001,-0.421,-0.493,10.041,0,-0.001,0.001,-0.421,-0.493,10.041,0,-0.042915392456677,-0.050254841997961,1.02354740061162
0.15,0.002,0.001,-0.001,-0.412,-0.517,10.099,0,-0.001,0,-0.412,-0.517,10.099,0,-0.041997961264016,-0.052701325178389,1.02945973496432
0.151,0.002,0.001,-0.001,-0.407,-0.517,10.07,0,-0.001,0,-0.407,-0.517,10.07,0,-0.041488277268094,-0.052701325178389,1.02650356778797
0.152,0.002,0.001,-0.001,-0.431,-0.479,10.008,0,-0.001,0,-0.431,-0.479,10.008,0,-0.043934760448522,-0.048827726809378,1.02018348623853
0.153,0.002,0.001,-0.001,-0.445,-0.479,9.998,0,-0.001,0,-0.445,-0.479,9.998,0,-0.045361875637105,-0.048827726809378,1.01916411824669
0.154,0.002,0.001,-0.001,-0.417,-0.512,10.051,-0.001,-0.001,0,-0.417,-0.512,10.051,0,-0.042507645259939,-0.052191641182467,1.02456676860347
0.155,0.002,0.001,-0.001,-0.464,-0.522,10.027,-0.001,-0.001,0,-0.464,-0.522,10.027,0,-0.047298674821611,-0.053211009174312,1.02212028542304
0.156,0.002,0.001,-0.001,-0.503,-0.546,10.017,-0.001,-0.001,0,-0.503,-0.546,10.017,0,-0.051274209989806,-0.05565749235474,1.02110091743119
0.157,0.002,0.001,-0.001,-0.421,-0.546,10.089,-0.001,-0.001,0,-0.421,-0.546,10.089,0,-0.042915392456677,-0.05565749235474,1.02844036697248
0.158,0.002,0.001,-0.001,-0.407,-0.522,10.094,-0.001,-0.001,0,-0.407,-0.522,10.094,0,-0.041488277268094,-0.053211009174312,1.0289500509684
0.159,0.002,0.001,0,-0.431,-0.512,10.089,-0.001,-0.001,0,-0.431,-0.512,10.089,0,-0.043934760448522,-0.052191641182467,1.02844036697248
0.16,0.002,0.001,0,-0.455,-0.517,10.08,-0.001,-0.001,0,-0.455,-0.517,10.08,0,-0.04638124362895,-0.052701325178389,1.02752293577982
0.161,0.002,0.001,0,-0.479,-0.508,10.041,-0.001,-0.001,0,-0.479,-0.508,10.041,0,-0.048827726809378,-0.051783893985729,1.02354740061162
0.162,0.002,0.001,0,-0.479,-0.512,10.032,-0.001,-0.001,0,-0.479,-0.512,10.032,0,-0.048827726809378,-0.052191641182467,1.02262996941896
0.163,0.002,0,0,-0.455,-0.541,10.104,-0.001,-0.001,-0.001,-0.455,-0.541,10.104,0,-0.04638124362895,-0.055147808358818,1.02996941896024
0.164,0.002,0,0,-0.412,-0.522,10.123,-0.001,-0.001,-0.001,-0.412,-0.522,10.123,0,-0.041997961264016,-0.053211009174312,1.03190621814475
0.165,0.002,0,0,-0.402,-0.522,10.084,-0.001,-0.001,-0.001,-0.402,-0.522,10.084,0,-0.040978593272171,-0.053211009174312,1.02793068297655
